"CR","Tracking #","Target DB","Migrated On","Migrated By","CR Type"
"CR013778","HRS-59390","HRS","06/27/2021  8:04:46AM","00379213","CODE"
"CR013779","HRS-58173","HRS","07/25/2021  8:02:17AM","00274593","CODE"
"CR013780","HRS-58909","HRS","07/25/2021  8:04:09AM","00274593","CODE"
"CR013784","HRS-59687","HRS","06/27/2021  8:11:42AM","00379213","CODE"
"CR013787","HRS-59767","HRS","09/05/2021  8:02:54AM","00379213","SCRT"
"CR013788","HRS-59731","HRS","07/25/2021  8:06:52AM","00274593","CODE"
"CR013790","HRS-58169","HRS","07/25/2021  8:01:20AM","00274593","CODE"
"CR013791","HRS-58225","HRS","07/25/2021  8:02:49AM","00274593","CODE"
"CR013797","HRS-58724","HRS","06/27/2021  8:14:25AM","00379213","SCRT"
"CR013801","HRS-57647","HRS","06/03/2021 11:43:19AM","00274593","CODE"
"CR013805","HRS-58213","HRS","06/27/2021  8:00:11AM","00379213","CODE"
"CR013807","HRS-58644","HRS","06/27/2021  8:03:29AM","00379213","CODE"
"CR013810","HRS-59781","HRS","06/18/2021  2:09:26PM","00274593","CODE"
"CR013811","HRS-59325","HRS","06/27/2021  8:03:55AM","00379213","CODE"
"CR013812","HRS-59439","HRS","06/27/2021  8:07:30AM","00379213","CODE"
"CR013813","HRS-58222","HRS","07/25/2021  8:02:43AM","00274593","CODE"
"CR013814","HRS-58265","HRS","06/27/2021  8:00:45AM","00379213","CODE"
"CR013815","HRS-59502","HRS","09/05/2021  8:05:13AM","00379213","CODE"
"CR013816","HRS-59619","HRS","06/27/2021  8:11:31AM","00379213","CODE"
"CR013818","HRS-59780","HRS","06/27/2021  8:11:48AM","00379213","CODE"
"CR013819","HRS-58272","HRS","06/27/2021  8:02:27AM","00379213","CODE"
"CR013820","HRS-58897","HRS","07/09/2021 12:08:39PM","00274593","CODE"
"CR013823","HRS-59793","HRS","06/04/2021 11:59:48AM","00274593","CODE"
"CR013824","HRS-57647","HRS","06/04/2021  2:32:41PM","00274593","CODE"
"CR013825","HRS-59541","HRS","06/27/2021  8:10:56AM","00379213","CODE"
"CR013829","HRS-59492","HRS","07/25/2021  8:06:40AM","00274593","CODE"
"CR013830","HRS-58172","HRS","07/25/2021  8:01:59AM","00274593","CODE"
"CR013831","HRS-58204","HRS","07/25/2021  8:02:37AM","00274593","CODE"
"CR013834","HRS-58167","HRS","07/25/2021  8:01:12AM","00274593","CODE"
"CR013836","HRS-59168","HRS","06/27/2021  8:15:11AM","00379213","SCRT"
"CR013837","HRS-59596","HRS","06/27/2021  8:11:19AM","00379213","CODE"
"CR013843","HRS-58275","HRS","06/27/2021  8:02:36AM","00379213","CODE"
"CR013845","HRS-59528","HRS","06/27/2021  8:07:42AM","00379213","CODE"
"CR013846","HRS-58673","HRS","07/18/2021  8:02:26AM","00274593","CODE"
"CR013847","HRS-59398","HRS","08/19/2021  2:55:09PM","00274593","CODE"
"CR013849","HRS-59398","HRS","08/19/2021  2:54:20PM","00274593","CODE"
"CR013850","HRS-58244","HRS","06/27/2021  8:00:28AM","00379213","CODE"
"CR013852","HRS-59831","HRS","06/27/2021  8:12:00AM","00379213","CODE"
"CR013856","HRS-59623","HRS","07/25/2021  8:06:46AM","00274593","CODE"
"CR013860","HRS-59807","HRS","07/25/2021  8:07:05AM","00274593","CODE"
"CR013867","HRS-59383","HRS","06/27/2021  8:04:40AM","00379213","CODE"
"CR013870","HRS-59573","HRS","06/27/2021  8:11:10AM","00379213","CODE"
"CR013872","HRS-59852","HRS","07/18/2021  8:02:44AM","00274593","CODE"
"CR013873","HRS-59765","HRS","06/27/2021  8:15:54AM","00379213","SCRT"
"CR013874","HRS-58634","HRS","06/27/2021  8:03:16AM","00379213","CODE"
"CR013876","HRS-59256","HRS","07/25/2021  8:06:32AM","00274593","CODE"
"CR013878","HRS-59667","HRS","06/27/2021  8:11:37AM","00379213","CODE"
"CR013879","HRS-58240","HRS","07/25/2021  8:03:04AM","00274593","CODE"
"CR013880","HRS-59524","HRS","06/27/2021  9:02:41AM","00379213","CODE"
"CR013881","HRS-59894","HRS","06/27/2021  8:12:07AM","00379213","CODE"
"CR013883","HRS-59845","HRS","07/25/2021  8:10:19AM","00274593","SCRT"
"CR013893","HRS-59819","HRS","07/25/2021  8:09:54AM","00274593","SCRT"
"CR013894","HRS-59339","HRS","06/27/2021  8:04:20AM","00379213","CODE"
"CR013897","HRS-58139","HRS","07/25/2021  8:00:57AM","00274593","CODE"
"CR013898","HRS-54040","HRS","07/25/2021  8:00:32AM","00274593","CODE"
"CR013899","HRS-59862","HRS","07/25/2021  8:07:23AM","00274593","CODE"
"CR013901","HRS-58689","HRS","07/25/2021  8:04:01AM","00274593","CODE"
"CR013902","HRS-57647","HRS","07/25/2021  8:00:45AM","00274593","CODE"
"CR013903","HRS-58239","HRS","07/25/2021  8:02:56AM","00274593","CODE"
"CR013907","HRS-59958","HRS","07/25/2021  8:07:48AM","00274593","CODE"
"CR013910","HRS-59885","HRS","07/25/2021  8:07:37AM","00274593","CODE"
"CR013912","HRS-58663","HRS","07/25/2021  8:03:24AM","00274593","CODE"
"CR013913","HRS-59854","HRS","07/25/2021  8:07:14AM","00274593","CODE"
"CR013914","HRS-58685","HRS","07/25/2021  8:03:44AM","00274593","CODE"
"CR013916","HRS-59971","HRS","07/01/2021  1:26:32PM","00274593","CODE"
"CR013919","HRS-59973","HRS","07/06/2021 12:25:46PM","00150774","CODE"
"CR013920","HRS-59975","HRS","07/02/2021  2:16:47PM","00274593","CODE"
"CR013928","HRS-59995","HRS","07/08/2021  5:21:42PM","00274593","SCRT"
"CR013929","HRS-55115","HRS","07/25/2021  8:08:53AM","00274593","SCRT"
"CR013932","HRS-60005","HRS","07/08/2021  3:53:34PM","00379213","CODE"
"CR013933","HRS-60018","HRS","07/16/2021  1:09:26PM","00274593","CODE"
"CR013936","HRS-59896","HRS","07/25/2021  8:07:43AM","00274593","CODE"
"CR013939","HRS-59930","HRS","11/01/2021  4:40:04PM","00274593","CODE"
"CR013944","HRS-58665","HRS","07/15/2021 10:50:20AM","00379213","CODE"
"CR013947","HRS-60044","HRS","07/15/2021  7:40:21AM","00379213","CODE"
"CR013948","HRS-59877","HRS","09/24/2021  4:31:33PM","00274593","CODE"
"CR013962","HRS-60078","HRS","07/19/2021  1:53:46PM","00274593","SCRT"
"CR013963","HRS-60074","HRS","07/25/2021  8:07:55AM","00274593","CODE"
"CR013969","HRS-58662","HRS","07/25/2021  8:03:54AM","00274593","CODE"
"CR013976","HRS-60098","HRS","07/22/2021 11:22:35AM","00274593","CODE"
"CR013977","HRS-57992","HRS","07/26/2021  1:58:57PM","00274593","CODE"
"CR013981","HRS-60102","HRS","07/23/2021  7:19:31PM","00379213","CODE"
"CR013983","HRS-59942","HRS","09/05/2021  8:06:44AM","00379213","CODE"
"CR013987","HRS-58666","HRS","08/08/2021  8:01:07AM","00274593","CODE"
"CR013988","HRS-58826","HRS","07/29/2021  9:30:27AM","00274593","CODE"
"CR013992","HRS-58148","HRS","08/04/2021  2:03:56PM","00274593","CODE"
"CR013998","HRS-58961","HRS","09/24/2021  4:31:09PM","00274593","CODE"
"CR014000","HRS-60138","HRS","07/26/2021  4:47:29PM","00274593","CODE"
"CR014002","HRS-60131","HRS","07/27/2021  3:55:04PM","00274593","CODE"
